,LONGITUDE,TIME,LOCATION,CRIME,LATITUDE
0,-77.0307907014,midnight,1300 - 1399 block of k street nw,robbery,38.9025209714
1,-77.0219169019,midnight,1500 - 1599 block of 7th street nw,assault w/dangerous weapon,38.9103842884
2,-77.0017503622,midnight,4600 - 4799 block of south capitol street,homicide,38.8216240267
3,-76.9910239861,evening,2200 - 2299 block of shannon place se,motor vehicle theft,38.8646480308
4,-77.0477444583,evening,2100 - 2199 block of pennsylvania avenue nw,theft/other,38.9016990258
5,-77.0090530223,day,1200 - 1499 block of north capitol street,burglary,38.9076427724
6,-77.032093941,day,1300 - 1499 block of massachusetts avenue nw,theft/other,38.9056991277
7,-77.0253666341,midnight,1 - 49 block of district square sw,theft/other,38.8798953144
8,-76.9485994889,evening,3900 - 3919 block of benning road ne,theft/other,38.8948602173
9,-76.9975556673,midnight,400 - 500 block of penn street ne,robbery,38.9103838861
10,-77.0582540143,day,2731 - 2899 block of devonshire place nw,theft f/auto,38.9307462243
11,-77.0336412921,evening,1400 - 1451 block of irving street nw,theft f/auto,38.928738039
12,-76.9675432572,day,2721 - 2899 block of good hope road se,theft/other,38.8600495718
13,-76.9971632321,evening,500 - 799 block of rhode island avenue ne,motor vehicle theft,38.920932635
14,-77.0046184059,midnight,100 - 199 block of yuma street se,assault w/dangerous weapon,38.8320467473
15,-76.9269789648,day,5100 - 5299 block of b street se,robbery,38.8862078577
16,-76.9588796709,midnight,3301 - 3399 block of benning road ne,theft/other,38.8967230746
17,-77.0365163644,evening,1600 - 1619 block of 16th street nw,theft/other,38.9114964109
18,-76.9910453537,evening,3400 - 3499 block of 11th place se,theft f/auto,38.8407944618
19,-77.0436069637,day,1300 - 1699 block of connecticut avenue nw,theft/other,38.9099274291
20,-77.0602059903,day,3000 - 3099 block of n street nw,theft f/auto,38.90682812
21,-77.1021366991,evening,5010 - 5099 block of cathedral avenue nw,theft f/auto,38.9302750665
22,-77.0319529725,evening,2100 - 2199 block of 14th street nw,theft/other,38.918640186
23,-77.0275590895,day,1100 - 1199 block of t street nw,theft f/auto,38.9155733376
24,-77.0229625853,day,400 - 499 block of 8th street nw,theft f/auto,38.8954649922
25,-76.9230789083,evening,300 - 399 block of 54th street ne,robbery,38.8939273463
26,-77.004475666,evening,1617 - 1699 block of eckington place ne,theft/other,38.9122304456
27,-76.9898397114,evening,1200 - 1299 block of monroe street ne,motor vehicle theft,38.9325934907
28,-77.0388098356,evening,4700 - 4799 block of 17th street nw,theft f/auto,38.9475708014
29,-76.997489823,evening,4400 - 4499 block of 6th place ne,motor vehicle theft,38.9433925091
30,-77.0315624741,day,1300 - 1399 block of gallatin street nw,theft f/auto,38.9518734433
31,-77.0327305535,evening,3100 - 3299 block of 14th street nw,theft f/auto,38.9295130123
32,-76.9580556016,evening,2300 - 3955 block of east capitol street,theft/other,38.8897870573
33,-76.9868844318,midnight,1309 - 1397 block of pennsylvania avenue se,motor vehicle theft,38.8808807786
34,-76.9829276015,day,1500 - 1599 block of isherwood street ne,motor vehicle theft,38.8954631188
35,-77.0076818531,evening,4000 - 4098 block of south capitol street,theft/other,38.830803418
36,-77.0273138245,day,6500  - 6599 block of georgia avenue nw,theft/other,38.969448089
37,-77.0161869536,midnight,1200 - 1225 block of 4th street nw,theft f/auto,38.906040768
38,-76.9377508758,day,520 - 545 block of 45th street ne,motor vehicle theft,38.8964223959
39,-76.9815533837,evening,1500 - 1699 block of alabama avenue se,theft/other,38.8465377272
40,-76.9290086361,day,5100 - 5149 block of southern avenue se,motor vehicle theft,38.8775808838
41,-77.0231319525,midnight,700  - 799 block of jefferson street nw,motor vehicle theft,38.9552790094
42,-77.0209098602,day,600 - 699 block of i street nw,theft f/auto,38.9008678723
43,-77.0280929197,evening,500 - 599 block of 12th street nw,theft/other,38.8967328794
44,-77.0146664437,evening,200  - 218 block of underwood street nw,theft f/auto,38.9686306093
45,-76.997555701,evening,1300 - 1399 block of 5th street ne,theft/other,38.9094019768
46,-77.0066728852,evening,70 - 101 block of i street se,motor vehicle theft,38.879277831
47,-76.9640441337,midnight,3000 - 3199 block of naylor road se,burglary,38.853130075
48,-77.0327364677,day,4200  - 4299 block of 14th street nw,theft f/auto,38.9423948786
49,-77.0770356918,day,4400 - 4415 block of 39th street nw,theft f/auto,38.9466800397
50,-77.064239871,day,3200 - 3299 block of woodley road nw,theft f/auto,38.930905237
51,-77.0250841394,evening,800 - 899 block of quackenbos street nw,theft/other,38.963770061
52,-77.0408237172,evening,1731 - 1785 block of florida avenue nw,theft/other,38.9172612211
53,-77.0053989764,midnight,800 - 899 block of new jersey ave se,robbery,38.8799065024
54,-76.9823129126,midnight,3033 - 3098 block of stanton road se,theft/other,38.8524031478
55,-77.0088363973,day,1600 - 1619 block of lincoln road ne,motor vehicle theft,38.9114702537
56,-76.9719148244,day,2200 - 2299 block of savannah street se,theft/other,38.8477812231
57,-77.0375001674,midnight,1600  - 1699 block of upshur street nw,theft f/auto,38.9418709667
58,-77.0249140304,midnight,828  - 899 block of quincy street nw,robbery,38.9376043962
59,-77.0209105976,evening,600 - 699 block of maryland avenue sw,motor vehicle theft,38.8866013919
60,-76.9772806304,day,1811 - 1999 block of hamlin street ne,motor vehicle theft,38.9277227332
61,-76.9565572063,day,3400 - 3599 block of commodore joshua barney drive ne,theft f/auto,38.9264196699
62,-77.014324859,evening,100 - 199 block of carroll street nw,theft/other,38.9748378665
63,-76.9937555941,evening,2300 - 2499 block of washington place ne,theft/other,38.9215847053
64,-77.0197194517,day,400 - 599 block of howard place nw,theft/other,38.9225795288
65,-76.9908949598,day,1100 - 1199 block of pennsylvania avenue se,theft/other,38.8825116783
66,-77.0090922395,evening,1400 - 1499 block of south capitol street,theft/other,38.8725033535
67,-77.0245692132,day,400 - 999 block of l'enfant plaza sw,theft f/auto,38.8838828674
68,-76.9321880537,evening,4816 - 4899 block of sheriff road ne,burglary,38.9029775532
69,-77.0288619423,evening,1200 - 1299 block of u street nw,theft f/auto,38.916992466
70,-77.0332551474,evening,1400 - 1499 block of church street nw,theft/other,38.9103846743
71,-77.0315650659,midnight,1300  - 1399 block of ingraham street nw,motor vehicle theft,38.9540789373
72,-77.0332436991,day,1400 - 1499 block of u street nw,theft/other,38.9169913016
73,-76.9885271218,evening,1230 - 1249 block of new york avenue ne,theft/other,38.9144641257
74,-77.0438199383,day,1851 - 1875 block of columbia road nw,burglary,38.9208433787
75,-77.025736801,midnight,1900 - 1999 block of vermont avenue nw,theft f/auto,38.9162815379
76,-76.9790001052,day,2600 - 2699 block of 18th street ne,theft f/auto,38.923966587
77,-77.0194532504,midnight,500 - 599 block of florida avenue nw,theft/other,38.9152230127
78,-77.0332908446,day,1400 - 1499 block of w street nw,motor vehicle theft,38.9191803122
79,-77.0438199383,midnight,1851 - 1875 block of columbia road nw,theft/other,38.9208433787
80,-77.0398102544,day,1700 - 1799 block of rhode island avenue nw,motor vehicle theft,38.9060981653
81,-77.0041880126,midnight,100 - 149 block of florida avenue ne,theft f/auto,38.9087187345
82,-77.0074823884,midnight,1 - 99 block of m street ne,assault w/dangerous weapon,38.905636274
83,-77.0261609421,midnight,3000 - 3099 block of sherman avenue nw,robbery,38.9283284531
84,-77.0448761198,evening,1700 - 1799 block of 20th street nw,theft/other,38.9133390377
85,-77.0259525052,day,900  - 998 block of randolph street nw,theft f/auto,38.9386761573
86,-77.019377418,evening,500 - 599 block of indiana avenue nw,theft/other,38.8945726425
87,-76.9973943524,evening,1250 - 1299 block of 6th street ne,motor vehicle theft,38.9075552627
88,-76.9803906515,day,1516 - 1699 block of benning road ne,theft/other,38.8996082789
89,-77.0639958956,midnight,3200 - 3275 block of m street nw,motor vehicle theft,38.9051510928
90,-77.0307885541,evening,1300 - 1399 block of w street nw,theft/other,38.9191809983
91,-77.0427906271,evening,1800 - 1899 block of park road nw,theft/other,38.932367918
92,-77.0355469593,evening,1500 - 1599 block of q street nw,robbery,38.9111171884
